,Fighter,W/L,Date,Method,Round,Time,Method Code,Total Fight Time (Sec),KD,Sig. Str. Landed,Sig. Str. Attempted,Sig. Str. %,Total Str. Landed,Total Str. Attempted,Total Str. %,TD Landed,TD Attempted,TD %,Sub. Attempted,Sub. Successful,Sub. %,Ctrl Time (Sec),Opp. KD,Opp. Sig. Str. Landed,Opp. Sig. Str. Attempted,Opp. Sig. Str. %,Opp. Total Str. Landed,Opp. Total Str. Attempted,Opp. Total Str. %,Opp. TD Landed,Opp. TD Attempted,Opp. TD %,Opp. Sub. Attempted,Opp. Sub. Successful,Opp. Sub. %,Opp. Ctrl Time (Sec),Opp. Fighter,Opp. Fighter Code,Target
66,Israel Adesanya,win,2018-07-06,U-DEC,5.0,5:00,6,1800,0.0,119.0,215.0,0.55,127.0,223.0,0.57,0.0,2.0,0.0,1.0,0.0,0,107.0,0.0,40.0,174.0,0.22,46.0,181.0,0.25,1.0,12.0,0.08,0.0,0.0,N/A,126.0,Brad Tavares,155,1
67,Israel Adesanya,win,2018-04-14,S-DEC,3.0,5:00,4,1200,0.0,57.0,123.0,0.46,67.0,134.0,0.5,0.0,1.0,0.0,0.0,0.0,N/A,0.0,0.0,46.0,154.0,0.29,60.0,169.0,0.36,2.0,6.0,0.33,0.0,0.0,N/A,198.0,Marvin Vettori,941,1
68,Israel Adesanya,win,2018-02-10,KO/TKO,2.0,3:37,2,817,1.0,52.0,75.0,0.69,70.0,94.0,0.74,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,22.0,46.0,0.47,33.0,59.0,0.56,3.0,15.0,0.2,0.0,0.0,N/A,246.0,Rob Wilkinson,1170,1
69,Mariya Agapova,loss,2022-09-17,SUB,2.0,2:19,5,739,0.0,39.0,58.0,0.67,84.0,107.0,0.79,0.0,0.0,N/A,1.0,0.0,0.0,29.0,0.0,4.0,14.0,0.28,7.0,20.0,0.35,3.0,7.0,0.42,1.0,1.0,1.0,287.0,Gillian Robertson,507,0
70,Mariya Agapova,loss,2022-03-05,SUB,2.0,3:27,5,807,0.0,16.0,27.0,0.59,72.0,86.0,0.84,0.0,0.0,N/A,0.0,0.0,N/A,40.0,0.0,28.0,42.0,0.66,51.0,74.0,0.69,2.0,5.0,0.4,3.0,1.0,0.3333333333333333,403.0,Maryna Moroz,942,0
71,Mariya Agapova,win,2021-10-09,SUB,3.0,0:53,5,953,1.0,93.0,164.0,0.56,99.0,170.0,0.58,0.0,0.0,N/A,1.0,1.0,1.0,5.0,0.0,62.0,159.0,0.38,63.0,161.0,0.39,0.0,0.0,N/A,0.0,0.0,N/A,35.0,Sabina Mazo,1206,1
72,Mariya Agapova,loss,2020-08-22,KO/TKO,2.0,1:38,2,698,0.0,22.0,46.0,0.47,56.0,89.0,0.63,2.0,2.0,1.0,0.0,0.0,N/A,191.0,0.0,24.0,36.0,0.66,41.0,59.0,0.69,2.0,2.0,1.0,0.0,0.0,N/A,150.0,Shana Dobson,1249,0
73,Mariya Agapova,win,2020-06-13,SUB,1.0,2:42,5,162,1.0,29.0,52.0,0.55,36.0,59.0,0.61,0.0,0.0,N/A,1.0,1.0,1.0,24.0,0.0,11.0,32.0,0.34,14.0,36.0,0.39,0.0,0.0,N/A,0.0,0.0,N/A,30.0,Hannah Cifers,523,1
74,Mariya Agapova,loss,2019-07-30,U-DEC,3.0,5:00,6,1200,0.0,39.0,80.0,0.48,64.0,112.0,0.57,0.0,1.0,0.0,0.0,0.0,N/A,N/A,0.0,66.0,126.0,0.52,111.0,180.0,0.62,4.0,7.0,0.57,0.0,0.0,N/A,N/A,Tracy Cortez,1356,0
75,Jessica Aguilar,loss,2019-03-30,U-DEC,3.0,5:00,6,1200,0.0,50.0,114.0,0.43,63.0,127.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,100.0,1.0,118.0,202.0,0.58,129.0,213.0,0.61,0.0,1.0,0.0,0.0,0.0,N/A,181.0,Marina Rodriguez,922,0
